         393551 function calls (382942 primitive calls) in 24.263 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.062    0.062    0.064    0.064 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\serial\serialwin32.py:35(open)
      766    0.063    0.000    0.063    0.000 {method '_set_from_file' of 'torch._C.StorageBase' objects}
        1    0.000    0.000    0.062    0.062 C:\Users\PC\source\repos\NCKH-2025\SmartLock_FaceRecognition\PyCharm\src\Recognize.py:283(detect_faces_dnn)
      593    0.011    0.000    0.055    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:1953(_load_from_state_dict)
        1    0.054    0.054    0.054    0.054 {method 'forward' of 'cv2.dnn.Net' objects}
        2    0.052    0.026    0.054    0.027 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\drivers\sapi5.py:86(getProperty)
        1    0.002    0.002    0.052    0.052 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\gen\_C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4.py:1(<module>)
        2    0.050    0.025    0.050    0.025 {method 'set' of 'cv2.VideoCapture' objects}
      111    0.001    0.000    0.050    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:29(forward)
      149    0.000    0.000    0.049    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\conv.py:459(forward)
      149    0.000    0.000    0.049    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\conv.py:451(_conv_forward)
      149    0.048    0.000    0.048    0.000 {built-in method torch.conv2d}
     33/8    0.000    0.000    0.048    0.006 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\container.py:215(forward)
        4    0.000    0.000    0.046    0.011 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\socket.py:946(getaddrinfo)
        4    0.044    0.011    0.044    0.011 {built-in method _socket.getaddrinfo}
       57    0.001    0.000    0.043    0.001 <frozen importlib._bootstrap_external>:1061(get_code)
        1    0.000    0.000    0.040    0.040 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\__init__.py:1(<module>)
        1    0.000    0.000    0.036    0.036 C:\Users\PC\source\repos\NCKH-2025\SmartLock_FaceRecognition\PyCharm\src\Recognize.py:163(initialize_firebase)
        1    0.000    0.000    0.035    0.035 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\firebase_admin\credentials.py:81(__init__)
        9    0.000    0.000    0.035    0.004 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\linear.py:92(__init__)
        1    0.000    0.000    0.035    0.035 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\oauth2\service_account.py:227(from_service_account_info)
        1    0.000    0.000    0.035    0.035 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\_service_account_info.py:24(from_dict)
        1    0.000    0.000    0.035    0.035 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\crypt\base.py:89(from_service_account_info)
        1    0.000    0.000    0.035    0.035 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\crypt\_cryptography_rsa.py:114(from_string)
        1    0.035    0.035    0.035    0.035 {built-in method keys.load_pem_private_key}
        1    0.000    0.000    0.035    0.035 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\mtcnn.py:226(forward)
        9    0.000    0.000    0.035    0.004 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\linear.py:105(reset_parameters)
        1    0.000    0.000    0.034    0.034 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\mtcnn.py:272(detect)
        1    0.002    0.002    0.034    0.034 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\utils\detect_face.py:25(detect_face)
      766    0.034    0.000    0.034    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}
      111    0.004    0.000    0.032    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\enum.py:515(__new__)
5061/4270    0.011    0.000    0.031    0.000 {built-in method __new__ of type object at 0x00007FFF664413D0}
        1    0.000    0.000    0.031    0.031 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\client\__init__.py:1(<module>)
     3892    0.013    0.000    0.030    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:1690(__setattr__)
       57    0.000    0.000    0.029    0.001 <frozen importlib._bootstrap_external>:1182(get_data)
        1    0.000    0.000    0.027    0.027 C:\Users\PC\source\repos\NCKH-2025\SmartLock_FaceRecognition\PyCharm\src\Recognize.py:270(load_deep_face_detector)
        1    0.027    0.027    0.027    0.027 {readNetFromCaffe}
 2050/322    0.002    0.000    0.027    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_post_coinit\unknwn.py:139(__setattr__)
        1    0.000    0.000    0.026    0.026 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:154(__init__)
      112    0.000    0.000    0.025    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\batchnorm.py:126(__init__)
       57    0.025    0.000    0.025    0.000 {built-in method _io.open_code}
      112    0.002    0.000    0.025    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\batchnorm.py:30(__init__)
      120    0.003    0.000    0.024    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_post_coinit\unknwn.py:215(_make_methods)
        1    0.000    0.000    0.021    0.021 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\client\_events.py:1(<module>)
      791    0.010    0.000    0.020    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\enum.py:249(__set_name__)
34803/31333    0.010    0.000    0.020    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.020    0.020 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\mtcnn.py:197(__init__)
        1    0.019    0.019    0.019    0.019 {built-in method pygame.mixer.init}
        1    0.000    0.000    0.019    0.019 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:131(__init__)
       10    0.002    0.000    0.018    0.002 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:88(forward)
       58    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:1234(_find_spec)
       59    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1487(_get_spec)
        1    0.000    0.000    0.017    0.017 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\client\_generate.py:1(<module>)
       58    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1516(find_spec)
        5    0.000    0.000    0.016    0.003 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:38(__init__)
      102    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1589(find_spec)
        2    0.000    0.000    0.016    0.008 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:1047(to)
    594/2    0.005    0.000    0.016    0.008 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:799(_apply)
      120    0.004    0.000    0.015    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_post_coinit\unknwn.py:64(__new__)
        1    0.000    0.000    0.015    0.015 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\client\_create.py:63(CreateObject)
        1    0.000    0.000    0.015    0.015 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\tools\codegenerator\__init__.py:1(<module>)
      798    0.004    0.000    0.015    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_memberspec.py:483(add)
  751/745    0.002    0.000    0.014    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_memberspec.py:204(COMMETHOD)
        1    0.000    0.000    0.013    0.013 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\tools\codegenerator\codegenerator.py:1(<module>)
       10    0.000    0.000    0.013    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\pooling.py:163(forward)
       10    0.000    0.000    0.013    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_jit_internal.py:489(fn)
       10    0.000    0.000    0.013    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\functional.py:774(_max_pool2d)
        2    0.000    0.000    0.013    0.006 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\utils\detect_face.py:16(fixed_batch_process)
       10    0.013    0.001    0.013    0.001 {built-in method torch.max_pool2d}
        1    0.012    0.012    0.012    0.012 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_post_coinit\misc.py:124(CoCreateInstance)
      766    0.007    0.000    0.012    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\serialization.py:1182(persistent_load)
      251    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      253    0.012    0.000    0.012    0.000 {built-in method nt.stat}
        5    0.001    0.000    0.012    0.002 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:59(forward)
        1    0.000    0.000    0.012    0.012 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_comobject.py:1(<module>)
      594    0.010    0.000    0.011    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:451(__init__)
      112    0.000    0.000    0.011    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\batchnorm.py:91(_load_from_state_dict)
        6    0.001    0.000    0.011    0.002 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:118(forward)
  474/446    0.001    0.000    0.010    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\typing.py:371(inner)
