         1454607 function calls (1304232 primitive calls) in 56.322 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.004    0.001    0.218    0.027 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\serialization.py:1060(_legacy_load)
   232/70    0.000    0.000    0.214    0.003 <frozen importlib._bootstrap>:1384(_handle_fromlist)
       28    0.001    0.000    0.204    0.007 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\cloud\storage\_media\requests\download.py:90(_write_to_stream)
      227    0.009    0.000    0.203    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\mtcnn.py:37(forward)
        8    0.001    0.000    0.202    0.025 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:2067(load_state_dict)
   1186/8    0.029    0.000    0.201    0.025 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:2117(load)
       93    0.200    0.002    0.200    0.002 {waitKey}
   156856    0.187    0.000    0.187    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:1675(__getattr__)
        1    0.000    0.000    0.178    0.178 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\gen\SpeechLib.py:1(<module>)
     1695    0.003    0.000    0.169    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\activation.py:1363(forward)
     1695    0.164    0.000    0.164    0.000 {built-in method torch.prelu}
      116    0.009    0.000    0.163    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\mtcnn.py:454(extract)
       94    0.161    0.002    0.161    0.002 {blobFromImage}
       12    0.000    0.000    0.159    0.013 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:100(__init__)
 1092/840    0.013    0.000    0.156    0.000 {built-in method builtins.__build_class__}
     1186    0.035    0.000    0.153    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:1953(_load_from_state_dict)
       20    0.000    0.000    0.152    0.008 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:72(__init__)
     1532    0.148    0.000    0.148    0.000 {method '_set_from_file' of 'torch._C.StorageBase' objects}
      110    0.012    0.000    0.142    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\utils\detect_face.py:342(extract_face)
      204    0.137    0.001    0.137    0.001 {resize}
      459    0.008    0.000    0.132    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torchvision\ops\boxes.py:44(batched_nms)
    67215    0.129    0.000    0.129    0.000 {built-in method torch._C._get_tracing_state}
        1    0.002    0.002    0.127    0.127 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\gen\_C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4.py:1(<module>)
      459    0.002    0.000    0.115    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\jit\_trace.py:1236(wrapper)
      459    0.024    0.000    0.112    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torchvision\ops\boxes.py:78(_batched_nms_coordinate_trick)
